project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Deeplaxmi Residency,5000000.0,456,2,2,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Vikas Aricia Altis Apartment,12500000.0,1116,3,3,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Mahalakshmi Krupa,3900000.0,425,1,1,Kalyan Shilphata Road,Beyond Thane,19.1935268122556,73.0967156475895,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Umia UMA Paradise Complex,4500000.0,612,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,,UMIYA Group
Lodha Crown Dombivali,2700000.0,220,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,7,5,Resale,Ready to Move,,Lodha Developers Limited
Vighnaharta Park,5500000.0,576,2,2,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Semi-Furnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Ekveera Gardens,1900000.0,468,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,6,Resale,Ready to Move,,Dhule Group
Lotus Tower,6000000.0,540,2,2,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Runwal My City Codename Walk,5600000.0,554,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,The Runwal Group
Runwal Mycity Phase 2,3800000.0,351,1,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Runwal Mycity Phase 2,5800000.0,378,1,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Runwal Mycity Phase 2,5000000.0,322,1,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Lok Dhara Phase 2,4800000.0,395,1,1,Kalyan East,Beyond Thane,19.2280216158659,73.1334807284888,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Lok Group
Ajmera Yogi Dham Phase 3,7000000.0,673,2,2,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Ajmera Realty & Infra India Ltd.
Satkar Tower,4500000.0,511,1,1,Kalyan East,Beyond Thane,19.2280216158659,73.1334807284888,Furnished,Apartment,0,0,2,Resale,Ready to Move,,Pragati Builders
Umiya Complex,3400000.0,623,2,2,Badlapur West,Beyond Thane,19.1760975692482,73.2401614495576,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Umiya Complex,2800000.0,468,2,2,Badlapur West,Beyond Thane,19.1760975692482,73.2401614495576,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Vighnaharta Park,5800000.0,594,2,3,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Semi-Furnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Laxmi Park,10000000.0,853,2,2,Thakurli,Beyond Thane,19.2252747701219,73.1000690723917,Unfurnished,Apartment,0,16,1,Resale,Ready to Move,,Laxmi Builders and Developers
yogidham phase 3,7200000.0,490,2,2,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Maruti Complex,4200000.0,333,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Dosti Kalher,2600000.0,461,1,1,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Apartment,0,3,6,Resale,Ready to Move,,Dosti Realty 
Mohan Plaza,2700000.0,709,2,2,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Furnished,Apartment,0,0,8,Resale,Ready to Move,,Mohan Group
Tulsi Sanidhya,2100000.0,410,1,1,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Unfurnished,Apartment,0,0,6,Resale,Ready to Move,,Tulsi Estates
Walekar Homes,3800000.0,684,2,2,Ambernath West,Beyond Thane,19.2107415190685,73.1908213734783,Unfurnished,Apartment,0,18,2,Resale,Ready to Move,,Walekar Sons and Developers
Walekar Homes,2600000.0,288,1,1,Ambernath West,Beyond Thane,19.2107415190685,73.1908213734783,Unfurnished,Apartment,0,18,2,Resale,Ready to Move,,Walekar Sons and Developers
Omkar Residency,4250000.0,612,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,,OSSK CORP
Omkar Residency,4250000.0,628,2,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,,OSSK CORP
Charms Global City,4200000.0,684,2,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,25,1,Resale,Under Construction,,Charms Group and RRC 
Tulsi Aastha,2500000.0,443,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,6,Resale,Ready to Move,,Raj Group
Raj Vaibhav NX,4100000.0,380,1,1,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Semi-Furnished,Apartment,0,18,2,Resale,Ready to Move,,Relliance Construction Co.
Charms Paradise,2600000.0,470,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Furnished,Apartment,0,12,4,Resale,Ready to Move,,Charms Group
Unkown,6500000.0,,2,2,Kalyan East,Beyond Thane,19.2280216158659,73.1334807284888,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
La Arihant Heritage,1525000.0,,1,2,Badlapur East,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,7,6,Resale,Ready to Move,1 Open,Unknown
Unkown,4000000.0,,2,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Sai Pooja Residency,1700000.0,400,1,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,12,8,Resale,Ready to Move,1 Open,Mrunal Enterprises
Unkown,2100000.0,,,,Shahapur,Beyond Thane,19.453550664726,73.3247044251021,,Residential Plot,0,0,2,Resale,,,Unknown
JP Synergy,2100000.0,,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,18,1,Resale,Ready to Move,,JP Corp
Jainam Residency Phase 2,2400000.0,,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,0,1,Resale,Ready to Move,,Patel RPL Realty
