project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Unkown,85500000,2400,4,4,Goregaon West,Mumbai,19.1630920855215,72.8398088005091,Furnished,Villa,0,0,10,Resale,Ready to Move,,Unknown
L&T Emerald Isle,22500000,610,2,2,Powai,Mumbai,19.1196773,72.9050809,Semi-Furnished,Apartment,0,46,10,Resale,Ready to Move,1 Covered,L&T Realty
Arihant Residency,28000000,850,3,3,Chunabhatti,Mumbai,19.0528068400089,72.8725841605851,Unfurnished,Apartment,0,15,1,Resale,Ready to Move,1 Covered,Arihant Infrastructures
Lodha Cullinan,200000000,4300,4,6,Versova Andheri West,Mumbai,19.13844,72.812187,Unfurnished,Apartment,0,0,5,New Property,Under Construction,4 Covered,Lodha Developers Limited
Runwal Sanctuary,34000000,1050,3,3,Mulund West,Mumbai,19.1749536837097,72.943103519999,Unfurnished,Apartment,0,33,10,Resale,Ready to Move,,Runwal Group
Unkown,13800000,420,1,2,Kalina,Mumbai,19.0731990570505,72.8638925628929,Unfurnished,Apartment,0,0,3,Resale,Ready to Move,1 Covered,Unknown
Unkown,20000000,717,2,3,Mulund,Mumbai,19.1650004119132,72.9640308142804,Furnished,Apartment,0,0,10,Resale,Ready to Move,"2 Covered, 1 Open",Unknown
Unkown,75000000,2000,,1,Andheri East,Mumbai,19.1154908,72.8726952,Furnished,Commercial Office Space,1,0,10,Resale,Ready to Move,2 Covered,Unknown
Unkown,9000000,396,1,1,Maruti Nagar,Mumbai,19.2423768402693,72.8683468907507,Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Balaji Heights,9750000,,2,2,Phase 1 Indralok,Mumbai,19.294895,72.860975,Furnished,Apartment,0,14,0,Resale,Ready to Move,,Balaji Developers
Unkown,7800000,,1,1,Gorai 3,Mumbai,19.2343996815422,72.830816312072,Semi-Furnished,Apartment,0,0,1,Resale,,,Unknown
Unkown,30000000,,,,Motilal Nagar 1,Mumbai,19.1572961813933,72.839749980275,Furnished,Commercial Shop,0,0,4,Resale,Ready to Move,,Unknown
Kohinoor Apartment,23500000,688,3,2,Chembur,Mumbai,19.0459181155422,72.8975231581492,Unfurnished,Apartment,0,8,10,Resale,Ready to Move,,Kohinoor Developer
Kanakia Rainforest,19800000,507,2,2,Andheri East,Mumbai,19.1154908,72.8726952,Furnished,Apartment,0,11,10,Resale,Ready to Move,,Kanakia Spaces Realty Pvt. Ltd.
Annie Court CHS,7000000,648,2,2,Bhayandar West,Mumbai,19.302684296237,72.8274295067014,Furnished,Apartment,0,0,5,Resale,Ready to Move,,Cooperative Group Housing Society
Hiranandani Zen Maple,15500000,252,1,1,Powai,Mumbai,19.1196773,72.9050809,Furnished,Apartment,0,11,10,Resale,Ready to Move,,Hiranandani Group
Puneet Sanjivani Tower ,10500000,468,2,2,Vikhroli East,Mumbai,19.08940973659,72.9389256015301,Unfurnished,Apartment,0,9,7,Resale,Ready to Move,,Puneet Urban Spaces
Shanti Lifespaces 1,3500000,396,1,1,Nalasopara East,Mumbai,19.43138984792,72.8497262547151,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,,Sheth Creators
Highland Park,8300000,396,1,2,Mulund West,Mumbai,19.1749536837097,72.943103519999,Semi-Furnished,Apartment,0,7,10,Resale,Ready to Move,,Siddhi Developers
Aman Spring,8500000,431,1,2,Kandivali West,Mumbai,19.2101312179652,72.8305011930765,Furnished,Apartment,0,6,9,Resale,Ready to Move,,Amann Infradevelopment Ltd.
Ambika Darshan,8000000,468,1,1,Kandivali East,Mumbai,19.2050017,72.8692711,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Ahimsa Enclave,11100000,418,1,1,Malad West,Mumbai,19.1940346300819,72.8257561606587,Semi-Furnished,Apartment,0,10,10,Resale,Ready to Move,,Ahimsa group
Lodha Azzuro ,44500000,989,2,2,Parel,Mumbai,18.9982694030581,72.8410429440342,Unfurnished,Apartment,0,8,6,Resale,Ready to Move,,Lodha Developers Limited
Neet And Geet CHS ,18000000,576,2,3,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,Unfurnished,Apartment,0,0,7,Resale,Ready to Move,,Cooperative Group Housing Society
Ganesh Krupa,16500000,551,2,2,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,Unfurnished,Apartment,0,0,7,Resale,Ready to Move,,Unknown
Pioneer Heritage,16000000,547,1,2,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,Unfurnished,Apartment,0,9,7,Resale,Ready to Move,,Pioneer Group
Gurukrupa Marina Enclave,10000000,445,1,1,Malad West,Mumbai,19.1940346300819,72.8257561606587,Unfurnished,Apartment,0,36,10,Resale,Ready to Move,,Gurukrupa Group
Neha Residency,22500000,648,2,2,Parel,Mumbai,18.9982694030581,72.8410429440342,Semi-Furnished,Apartment,0,28,6,Resale,Ready to Move,,Neha Developer
West View CHS,7800000,367,1,2,Kandivali West,Mumbai,19.2101312179652,72.8305011930765,Semi-Furnished,Apartment,0,7,9,Resale,Ready to Move,,West View  Development
Navkar Paradise,21000000,648,2,2,Borivali West,Mumbai,19.2335321,72.839198,Unfurnished,Apartment,0,12,10,Resale,Ready to Move,,Navkar Grooup
Dheeraj Heritage Residency,17500000,475,1,2,Santacruz West,Mumbai,19.0812559812257,72.8376604906028,Semi-Furnished,Apartment,0,0,7,Resale,Ready to Move,,Dheeraj Realty
Casa Castello,35000000,945,3,3,Borivali West,Mumbai,19.2335321,72.839198,Semi-Furnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Ronit Residency,19000000,612,2,2,Churi Wadi,Mumbai,19.1679,72.8518,Unfurnished,Apartment,0,0,1,Resale,Ready to Move,,Unknown
JP North Elara,8500000,359,1,2,Mira Road Area,Mumbai,19.2829267647424,72.8627883689306,Semi-Furnished,Apartment,0,13,8,Resale,Ready to Move,,JP Infra
Rustomjee Avenue D1,3700000,274,1,1,Virar West,Mumbai,19.4638767047594,72.7822993572118,Semi-Furnished,Apartment,0,15,8,Resale,Ready to Move,,Rustomjee
Vrindavan Society,18500000,829,2,2,Goregaon East,Mumbai,19.1562110822264,72.8758090633208,Unfurnished,Apartment,0,0,9,Resale,Ready to Move,,Unknown
