project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Prayag City,2500000.0,468.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,12,10,Resale,Ready to Move,,Prayag Builders and Developers
Jindal Residency,4800000.0,,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,6,10,New Property,Under Construction,,Jindal Builder
Jindal Residency,4511000.0,,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,6,10,New Property,Ready to Move,,Jindal Builder
Mahalaxmi City ,2500000.0,410.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Mahalaxmi City ,2800000.0,360.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Progressive Solitaire,21000000.0,1170.0,3.0,3.0,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Semi-Furnished,Apartment,0,0,10,Resale,Ready to Move,,Progressive Group
Solitaire,9700000.0,518.0,2.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,12,5,Resale,Ready to Move,,Panache Realty
Sankalp Riddhi Siddhi Heights,5900000.0,,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,9,6,New Property,Under Construction,,Sankalp Group
Krishna Angan Complex,5500000.0,702.0,2.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,8,5,Resale,Ready to Move,,S.P. Construction
Universal Arena,8500000.0,792.0,2.0,3.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,0,6,Resale,Under Construction,,Unknown
Tharwani Krupa,9600000.0,770.0,2.0,2.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Semi-Furnished,Apartment,0,0,3,Resale,Ready to Move,,Unknown
Shree Ganesh Amrut Garden,6300000.0,,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,18,5,New Property,Under Construction,,Shree Ganesh Enterprises
Shree Ganesh Amrut Garden,6300000.0,,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,18,5,New Property,Under Construction,,Shree Ganesh Enterprises
Shree Ganesh Amrut Garden,6000000.0,,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,18,5,New Property,Under Construction,,Shree Ganesh Enterprises
Shree Ganesh Amrut Garden,5800000.0,,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,18,5,New Property,Under Construction,,Shree Ganesh Enterprises
Galaxy Aura,40000000.0,,3.0,3.0,Sector 6 Nerul,Navi Mumbai,19.0422020592081,73.0104016189229,Unfurnished,Apartment,0,4,0,Resale,Ready to Move,,Galaxy Group
Neelsidhi Orbit,5000000.0,,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,25,5,New Property,Under Construction,,Neel Sidhi
Balaji Neel Delta,8700000.0,,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,5,6,New Property,Ready to Move,,Balaji Group
Balaji Neel Delta,6200000.0,,1.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,5,6,New Property,Ready to Move,,Balaji Group
STK Kukreja Classic,17900000.0,,2.0,2.0,Sanpada,Navi Mumbai,19.0583094914648,73.0164374121942,Semi-Furnished,Apartment,0,7,9,New Property,Under Construction,,Kukreja Construction Company
Indraprastha Apartment,4900000.0,482.0,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
