project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Shahpur ShubhVastu ,2300000,547,2,2,Vasind,Beyond Thane,19.4059529362434,73.2634315742197,Unfurnished,Apartment,0,16,2,Resale,Ready to Move,,Shahpur Infrastructure
Shahpur ShubhVastu ,2500000,515,2,1,Vasind,Beyond Thane,19.4059529362434,73.2634315742197,Unfurnished,Apartment,0,16,2,Resale,Ready to Move,,Shahpur Infrastructure
Shahpur ShubhVastu ,2400000,547,2,2,Vasind,Beyond Thane,19.4059529362434,73.2634315742197,Unfurnished,Apartment,0,16,2,Resale,Ready to Move,,Shahpur Infrastructure
Saptashree Galaxy,3800000,432,1,1,Shilphata,Thane,19.1465685568349,73.0399463501033,Unfurnished,Apartment,0,21,0,Resale,Ready to Move,,Sapta Shree Builders & Developers
Lalani Residency,10500000,634,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,29,4,Resale,Ready to Move,,Lalani Group
Lalani Residency,9500000,629,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,29,4,Resale,Ready to Move,,Lalani Group
Lalani Residency,9900000,634,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,29,4,Resale,Ready to Move,,Lalani Group
Poddar Samruddhi Evergreen,3200000,617,2,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Apartment,0,15,8,Resale,Ready to Move,,Poddar Housing
Nirmal Lifestyle City,4000000,295,1,2,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Unfurnished,Apartment,0,19,8,Resale,Ready to Move,,Nirmal Lifestyle
Jewel Arista,2500000,493,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Jewel Builders and Infraprojects Ltd.
Jewel Arista,2430000,486,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Furnished,Apartment,0,16,8,Resale,Ready to Move,,Jewel Builders and Infraprojects Ltd.
Jewel Arista,2300000,493,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Apartment,0,16,8,Resale,Ready to Move,,Jewel Builders and Infraprojects Ltd.
Jewel Arista,2200000,352,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Jewel Builders and Infraprojects Ltd.
Nirmal Lifestyle City,3400000,403,1,2,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Unfurnished,Apartment,0,19,8,Resale,Ready to Move,,Nirmal Lifestyle
