project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
Prayag City,2500000.0,468.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,0.0,1.0,0.0,12.0,10.0,0.0,1.0,Prayag Builders and Developers,2726000.0,7284298.14968815,10568313.698119901,3348181.8181818184
Jindal Residency,4800000.0,534.8956213358579,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,0.0,1.0,0.0,6.0,10.0,1.0,0.5,Jindal Builder,4622200.0,7284298.14968815,10568313.698119901,4568500.0
Jindal Residency,4511000.0,502.0568248265954,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,0.0,1.0,0.0,6.0,10.0,1.0,1.0,Jindal Builder,4622200.0,7284298.14968815,10568313.698119901,4568500.0
Mahalaxmi City ,2500000.0,410.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,0.0,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,3378571.4285714286,7284298.14968815,10568313.698119901,14922676.984989278
Mahalaxmi City ,2800000.0,360.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,0.0,1.0,0.0,0.0,10.0,0.0,1.0,Unknown,3378571.4285714286,7284298.14968815,10568313.698119901,14922676.984989278
Progressive Solitaire,21000000.0,1170.0,3.0,3.0,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,0.5,1.0,0.0,0.0,10.0,0.0,1.0,Progressive Group,21000000.0,16406072.727272727,10568313.698119901,12880000.0
Solitaire,9700000.0,518.0,2.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,12.0,5.0,0.0,1.0,Panache Realty,9700000.0,6249443.385093167,10568313.698119901,9700000.0
Sankalp Riddhi Siddhi Heights,5900000.0,406.7634639358839,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,9.0,6.0,1.0,0.5,Sankalp Group,5516666.666666667,8304250.0,10568313.698119901,5928571.428571428
Krishna Angan Complex,5500000.0,702.0,2.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,8.0,5.0,0.0,1.0,S.P. Construction,4200000.0,6249443.385093167,10568313.698119901,4200000.0
Universal Arena,8500000.0,792.0,2.0,3.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,0.0,6.0,0.0,0.5,Unknown,8500000.0,8304250.0,10568313.698119901,14922676.984989278
Tharwani Krupa,9600000.0,770.0,2.0,2.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,0.5,1.0,0.0,0.0,3.0,0.0,1.0,Unknown,9600000.0,7899576.27118644,10568313.698119901,14922676.984989278
Shree Ganesh Amrut Garden,6300000.0,446.8284435538226,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,18.0,5.0,1.0,0.5,Shree Ganesh Enterprises,5896600.0,6249443.385093167,10568313.698119901,5896600.0
Shree Ganesh Amrut Garden,6300000.0,565.4476283585973,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,18.0,5.0,1.0,0.5,Shree Ganesh Enterprises,5896600.0,6249443.385093167,10568313.698119901,5896600.0
Shree Ganesh Amrut Garden,6000000.0,561.1250480154667,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,18.0,5.0,1.0,0.5,Shree Ganesh Enterprises,5896600.0,6249443.385093167,10568313.698119901,5896600.0
Shree Ganesh Amrut Garden,5800000.0,439.62414298193835,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,18.0,5.0,1.0,0.5,Shree Ganesh Enterprises,5896600.0,6249443.385093167,10568313.698119901,5896600.0
Galaxy Aura,40000000.0,1224.737336928105,3.0,3.0,Sector 6 Nerul,Navi Mumbai,19.0422020592081,73.0104016189229,0.0,1.0,0.0,4.0,0.0,0.0,1.0,Galaxy Group,40371428.571428575,23750000.0,10568313.698119901,30575000.0
Neelsidhi Orbit,5000000.0,546.6952482635752,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,25.0,5.0,1.0,0.5,Neel Sidhi,5512499.875,6249443.385093167,10568313.698119901,5512499.875
Balaji Neel Delta,8700000.0,678.8573984097638,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,5.0,6.0,1.0,1.0,Balaji Group,7180000.0,8304250.0,10568313.698119901,10234227.272727273
Balaji Neel Delta,6200000.0,497.8647360883333,1.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,5.0,6.0,1.0,1.0,Balaji Group,7180000.0,8304250.0,10568313.698119901,10234227.272727273
